,African,European,India,Malay,SouthChineseDai,SouthwestChineseYi,EastChinese,Japanese,NorthChineseOroqen,Yakut,American,
Mongola-Tu-Xibo,0.001,2.199,4.629,0.001,0.001,9.169,0.001,1.183,61.841,19.874,1.101,
Mongola-Tu-Xibo,0.389,2.036,0.001,2.005,0.001,11.821,36.105,3.584,39.944,4.114,0.001,
Mongola-Tu-Xibo,0.99,2.24,1.607,0.001,0.765,15.765,45.347,1.123,26.733,4.159,1.271,
Naxi-Yizu,0.001,0.001,0.001,2.947,7.37,71.857,8.512,1.607,6.738,0.965,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,7.83,80.528,3.985,2.897,3.646,1.11,0.001,
Naxi-Yizu,0.569,0.081,0.001,3.815,8.226,46.533,26.953,0.565,10.528,1.644,1.085,
Naxi-Yizu,0.091,0.281,0.001,1.78,4.158,66.099,17.884,1.95,4.4,2.453,0.904,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,7.363,78.994,1.998,1.616,10.024,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Daur-Hezhen-Oroqen,0.036,0.001,0.172,0.001,0.001,5.794,6.685,10.849,45.542,28.986,1.934,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.25,14.823,8.483,4.147,72.291,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,85.311,14.68,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,11.395,11.972,2.085,63.327,11.216,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.096,0.001,0.001,0.001,87.913,11.983,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,4.91,6.244,9.651,49.411,28.196,1.583,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,82.411,17.58,0.001,
Daur-Hezhen-Oroqen,0.001,0.245,0.001,2.725,0.001,0.341,20.489,4.452,59.239,10.346,2.159,
Mongola-Tu-Xibo,0.71,1.212,5.352,0.001,0.001,42.107,30.567,2.643,11.588,4.517,1.302,
Mongola-Tu-Xibo,0.804,2.654,5.111,0.001,0.001,39.415,35.841,0.001,8.973,5.02,2.178,
Mongola-Tu-Xibo,0.001,2.517,0.702,0.001,0.001,52.408,25.808,0.001,10.978,5.344,2.24,
Mongola-Tu-Xibo,0.168,3.016,5.95,0.001,2.95,38.449,22.943,0.001,21.859,3.977,0.687,
Mongola-Tu-Xibo,0.001,1.308,6.213,0.001,0.001,36.067,35.995,2.728,13.632,2.864,1.191,
Mongola-Tu-Xibo,0.087,1.76,2.887,0.001,0.001,40.63,33.552,0.587,12.24,6.897,1.359,
Mongola-Tu-Xibo,0.001,5.997,1.563,1.052,1.743,34.873,31.91,4.904,9.533,5.902,2.522,
Mongola-Tu-Xibo,0.192,0.666,6.111,0.001,0.001,32.617,42.09,0.001,15.527,2.791,0.001,
Mongola-Tu-Xibo,1.16,2.723,2.723,0.001,0.001,45.923,32.077,0.001,11.323,2.936,1.131,
Mongola-Tu-Xibo,0.797,4.014,3.641,0.001,0.001,35.299,35.949,0.001,14.226,5.233,0.838,
Uygur,0.001,25.482,26.246,0.001,0.001,7.576,12.446,5.564,11.475,6.608,4.601,
Uygur,0.001,24.465,31.747,0.001,0.001,1.388,8.169,5.188,17.895,8.55,2.595,
Uygur,0.001,21.819,26.438,0.001,1.348,8.222,9.608,0.001,25.243,4.178,3.141,
Uygur,0.001,23.95,28.142,0.001,0.001,6.774,8.952,0.133,21.751,7.738,2.558,
Uygur,0.067,19.871,28.569,0.001,0.001,9.511,9.686,0.001,23.024,5.704,3.564,
Uygur,0.001,16.407,17.523,0.001,0.526,12.932,0.001,2.545,31.525,15.546,2.994,
Uygur,0.171,26.047,27.515,0.001,1.879,13.402,2.275,1.053,24.711,0.001,2.945,
Uygur,0.001,21.416,20.843,0.001,0.001,13.78,10.555,0.912,26.944,2.815,2.731,
Uygur,0.206,20.206,22.289,0.001,0.783,4.329,11.369,4.835,24.818,8.35,2.813,
Uygur,0.152,21.289,25.019,3.1,0.001,4.043,10.733,0.796,26.343,5.949,2.575,
Mongola-Tu-Xibo,0.001,18.401,2.151,0.001,0.001,12.816,18.826,10.702,31.395,3.964,1.742,
Mongola-Tu-Xibo,0.377,2.218,0.534,0.001,0.001,12.462,32.415,7.706,35.457,8.828,0.001,
Mongola-Tu-Xibo,0.021,0.671,0.336,1.71,0.001,14.25,23.883,9.274,43.734,6.12,0.001,
Mongola-Tu-Xibo,0.001,0.224,0.001,1.299,0.001,12.667,22.695,17.535,38.497,7.079,0.001,
Mongola-Tu-Xibo,0.005,9.203,0.845,0.001,0.001,16.085,28.213,12.991,27.699,3.358,1.599,
Mongola-Tu-Xibo,0.251,1.428,4.468,0.001,0.896,10.191,29.478,4.972,39.513,8.8,0.001,
Mongola-Tu-Xibo,0.001,0.955,0.582,0.001,1.916,15.79,28.968,9.582,33.828,7.892,0.485,
Mongola-Tu-Xibo,0.058,3.029,1.072,0.001,0.001,10.407,30.484,12.512,33.131,8.914,0.39,
Mongola-Tu-Xibo,0.04,0.234,1.712,0.001,0.001,16.906,27.903,17.023,33.199,2.461,0.521,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,5.013,2.316,0.001,0.001,5.016,0.001,6.178,18.776,60.305,2.392,
Yakut,0.001,3.035,0.001,0.001,0.001,0.001,0.001,0.001,0.001,96.956,0.001,
Yakut,0.001,23.371,0.001,0.001,1.013,0.001,0.001,1.819,0.856,70.633,2.305,
Yakut,0.001,7.269,0.001,0.001,0.001,0.001,0.001,0.001,0.001,92.722,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.068,23.565,3.158,0.001,0.001,0.001,0.001,0.001,11.622,59.871,1.711,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,3.043,1.859,0.091,0.001,3.475,2.322,5.837,17.907,63.314,2.15,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.301,84.69,0.001,
Yakut,0.001,5.493,0.001,0.001,0.001,0.343,0.001,3.178,0.001,90.978,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,2.066,0.001,9.7,46.093,38.796,3.339,
Yakut,0.001,0.774,2.305,0.001,0.001,3.341,2.441,5.481,19.086,63.703,2.866,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.142,1.962,2.329,0.001,0.001,5.431,0.901,4.856,21.331,60.739,2.307,
Yakut,0.001,0.858,0.001,0.001,0.001,0.001,0.001,0.001,0.001,98.093,1.041,
Yakut,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,
Yakut,0.001,4.074,0.001,0.001,0.001,0.001,1.626,0.112,0.001,93.346,0.836,
Yakut,0.001,10.082,3.832,0.001,0.001,0.001,0.001,0.001,0.001,81.972,4.107,
Naxi-Yizu,0.001,0.001,0.001,0.683,12.93,69.349,8.44,0.001,8.591,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,1.978,98.013,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,11.411,84.057,2.867,0.001,1.657,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,3.169,96.822,0.001,0.001,0.001,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,25.675,29.225,35.079,0.001,10.014,0.001,0.001,
Naxi-Yizu,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,0.001,0.001,
Han,0.731,0.056,1.297,0.441,1.903,28.695,49.176,0.001,16.33,0.001,1.368,
Han,0.064,0.03,0.001,2.569,27.004,9.75,45.74,6.347,6.639,1.854,0.001,
Han,0.463,0.001,0.578,0.001,3.042,19.91,55.568,6.033,14.402,0.001,0.001,
Han,1.243,0.38,0.001,0.574,13.993,15.594,52.947,9.321,3.604,0.862,1.481,
Han,0.001,1.747,0.001,0.001,2.145,22.343,61.85,8.393,2.665,0.853,0.001,
Han,0.001,0.514,0.001,3.562,19.364,17.56,50.041,0.001,8.686,0.001,0.269,
Han,0.223,1.659,0.001,0.001,10.341,22.862,47.972,9.002,7.37,0.001,0.567,
Han,0.836,0.001,0.932,0.083,0.001,20.066,55.659,7.493,14.634,0.001,0.294,
Han,0.248,0.001,0.683,2.309,28.847,5.337,56.668,1.499,4.28,0.001,0.126,
Han,0.15,1.778,0.04,0.559,1.004,14.684,66.469,4.163,9.913,1.24,0.001,
Han,0.486,0.001,0.068,0.001,32.145,10.593,44.986,6.42,0.012,5.099,0.19,
Han,0.001,0.428,0.001,1.556,0.001,21.465,58.847,2.862,14.837,0.001,0.001,
Han,2.488,2.393,0.53,0.001,8.714,15.427,47.17,7.016,10.868,4.378,1.017,
Han,0.258,0.136,1.115,0.001,0.777,22.539,55.464,6.202,13.34,0.167,0.001,
Han,0.236,0.001,0.246,3.708,52.948,0.001,37.839,0.001,3.228,1.791,0.001,
Han,0.289,0.001,0.001,0.723,23.525,14.145,45.005,4.782,7.797,3.384,0.348,
Han,0.335,0.03,0.001,2.114,20.838,21.385,43.56,2.678,5.716,1.351,1.991,
Han,0.09,0.001,0.498,0.001,0.001,23.404,55.736,13.259,4.814,0.001,2.195,
Han,0.001,0.131,0.116,0.001,3.39,28.554,46.512,3.886,16.244,0.001,1.164,
Han,0.274,0.001,1.375,0.001,14.23,12.66,60.764,4.049,3.611,2.855,0.182,
Han,0.07,0.514,2.057,0.769,0.001,23.324,56.69,2.041,12.853,1.68,0.001,
Han,0.316,1.781,0.001,1.243,0.001,24.739,52.338,7.123,11.21,0.001,1.247,
Han,0.673,0.218,0.001,0.001,0.001,15.185,57.45,9.004,15.918,0.001,1.549,
Han,0.996,1.403,0.001,0.001,0.257,23.332,53.662,8.579,11.769,0.001,0.001,
Han,0.203,0.071,0.747,0.001,3.032,24.122,58.424,4.237,5.584,3.579,0.001,
Han,0.001,0.001,0.001,0.001,25.964,10.624,50.155,3.393,9.398,0.001,0.462,
Han,0.356,0.001,0.001,0.454,30.593,18.33,34.162,6.545,8.291,0.001,1.266,
Han,0.075,0.001,0.001,0.001,0.001,23.594,54.953,8.172,13.201,0.001,0.001,
Han,0.35,0.001,1.426,0.001,26.688,19.139,47.386,0.916,3.962,0.001,0.131,
Han,0.018,0.001,2.811,0.647,0.001,18.235,57.529,4.247,16.508,0.001,0.001,
Han,0.267,0.001,0.001,0.001,10.439,12.322,62.765,4.429,8.102,1.388,0.285,
Han,0.517,0.001,0.267,2.854,0.001,25.021,49.769,11.156,10.413,0.001,0.001,
Han,0.001,0.041,0.001,0.038,30.006,16.917,40.576,4.616,7.801,0.001,0.001,
Han,0.001,0.944,0.569,0.001,1.291,21.37,59.311,6.299,7.067,3.146,0.001,
Han,0.589,0.098,0.001,0.001,9.556,27.205,45.442,8.177,7.445,1.221,0.266,
Han,0.445,0.001,0.001,0.001,16.594,13.194,54.818,3.066,11.878,0.001,0.001,
Han,0.001,0.79,0.001,0.001,0.001,22.475,58.831,6.883,11.015,0.001,0.001,
Han,0.409,0.001,0.001,0.001,6.315,19.427,49.559,10.042,11.294,2.951,0.001,
Han,0.173,0.001,1.27,0.001,2.054,19.11,58.169,5.913,8.407,4.026,0.876,
Han,0.291,0.495,0.399,0.001,0.001,21.391,58.155,2.44,14.246,1.494,1.087,
Han,0.001,0.17,0.001,1.381,1.504,23.671,55.02,1.277,13.969,0.001,3.005,
Han,0.001,0.001,0.001,5.417,13.524,6.49,63.991,0.001,8.79,1.783,0.001,
Han,0.275,0.903,0.001,0.001,2.902,15.994,57.257,7.227,15.439,0.001,0.001,
Han,0.001,0.068,1.263,3.195,0.001,21.684,54.157,3.017,14.398,0.822,1.394,
Han,0.001,0.435,1.649,0.001,0.504,17.812,59.952,0.112,18.647,0.001,0.886,
Han,0.001,0.581,0.186,0.6,7.812,10.682,62.993,5.353,10.365,0.387,1.04,
Han,0.495,0.001,0.931,0.001,0.947,19.631,59.18,9.858,4.845,3.411,0.699,
Han,0.592,0.001,0.24,1.302,0.001,21.449,55.32,11.052,7.253,2.138,0.653,
Han,0.001,0.001,0.899,1.124,0.001,25.27,53.182,1.604,17.316,0.487,0.114,
Han,0.001,0.001,0.457,0.224,25.915,16.842,46.276,4.34,5.943,0.001,0.001,
Han,0.001,0.001,1.7,0.001,30.1,0.036,60.084,4.414,1.192,2.445,0.026,
Han,0.198,1.148,0.001,0.467,0.001,25.97,49.121,10.262,9.142,2.974,0.716,
Han,0.507,1.127,0.001,0.001,0.732,21.409,58.553,3.518,13.886,0.264,0.001,
Han,0.001,0.425,0.932,1.288,0.182,18.443,59.541,1.481,17.203,0.503,0.001,
Han,0.001,0.101,0.772,0.001,0.549,23.368,50.23,9.94,15.036,0.001,0.001,
Han,0.001,0.13,0.047,2.462,14.705,16.618,47.631,8.73,8.172,1.503,0.001,
Han,0.438,0.001,1.263,1.356,0.001,20.905,52.1,8.373,13.356,0.826,1.381,
Han,0.001,0.092,0.001,4.623,0.001,18.2,63.449,3.192,10.415,0.001,0.024,
Han,0.215,1.94,1.296,0.001,0.001,20.944,47.876,12.008,14.898,0.705,0.115,
